Project,FPGA_Part,FPGA_Family,Technology,Strategy,Clock_Constraint_ns,LUTs,FFs,Slices,DSPs,BRAMs,WNS_ns,Data_Path_Delay_ns,Logic_Delay_ns,Route_Delay_ns,Levels,Fmax_MHz,Synth_Time_s,Impl_Time_s,Total_Time_s,Status
mult_mod_3329_2x2_arc_3_1_4_st_exact,xc7k70tfbg484-3,Kintex-7,28nm,Default_NoClock,0,318,0,92,0,0,N/A,15.343,5.989,9.354,27,65.18,36,57,100,OK
mult_mod_3329_2x2_arc_3_1_4_st_exact,xc7k70tfbg484-3,Kintex-7,28nm,Area_NoClock,0,293,0,83,0,0,N/A,15.143,5.796,9.347,25,66.04,36,61,104,OK
mult_mod_3329_2x2_arc_3_1_4_st_exact,xc7k70tfbg484-3,Kintex-7,28nm,Speed_NoClock,0,376,0,106,0,0,N/A,15.535,5.746,9.789,27,64.37,37,61,105,OK
mult_mod_3329_3x3_arc_2_new_exact_all,xc7k70tfbg484-3,Kintex-7,28nm,Default_NoClock,0,284,0,82,0,0,N/A,13.531,5.591,7.939,18,73.9,37,61,104,OK
mult_mod_3329_3x3_arc_2_new_exact_all,xc7k70tfbg484-3,Kintex-7,28nm,Area_NoClock,0,277,0,80,0,0,N/A,13.955,5.605,8.351,22,71.66,38,61,105,OK
mult_mod_3329_3x3_arc_2_new_exact_all,xc7k70tfbg484-3,Kintex-7,28nm,Speed_NoClock,0,260,0,77,0,0,N/A,13.603,5.555,8.048,19,73.51,37,58,103,OK
mult_mod_3329_2x2_arc_4_4_exact_5_lut,xc7k70tfbg484-3,Kintex-7,28nm,Default_NoClock,0,289,0,84,0,0,N/A,16.731,6.319,10.412,27,59.77,38,55,99,OK
mult_mod_3329_2x2_arc_4_4_exact_5_lut,xc7k70tfbg484-3,Kintex-7,28nm,Area_NoClock,0,256,0,81,0,0,N/A,17.44,6.392,11.048,28,57.34,37,55,98,OK
mult_mod_3329_2x2_arc_4_4_exact_5_lut,xc7k70tfbg484-3,Kintex-7,28nm,Speed_NoClock,0,340,0,101,0,0,N/A,17.157,6.439,10.718,29,58.29,36,61,104,OK
mult_mod_3329_2x2_arc_2,xc7k70tfbg484-3,Kintex-7,28nm,Default_NoClock,0,274,0,80,0,0,N/A,15.699,6.211,9.489,30,63.7,36,56,99,OK
mult_mod_3329_2x2_arc_2,xc7k70tfbg484-3,Kintex-7,28nm,Area_NoClock,0,231,0,72,0,0,N/A,17.281,6.763,10.517,32,57.87,37,55,98,OK
mult_mod_3329_2x2_arc_2,xc7k70tfbg484-3,Kintex-7,28nm,Speed_NoClock,0,315,0,91,0,0,N/A,15.64,5.859,9.781,28,63.94,36,55,98,OK
mult_mod_3329_2x2_arc_3_2_2,xc7k70tfbg484-3,Kintex-7,28nm,Default_NoClock,0,356,0,100,0,0,N/A,21.776,6.061,15.715,35,45.92,48,57,111,OK
mult_mod_3329_2x2_arc_3_2_2,xc7k70tfbg484-3,Kintex-7,28nm,Area_NoClock,0,307,0,89,0,0,N/A,28.278,7.161,21.117,51,35.36,42,61,110,OK
mult_mod_3329_2x2_arc_3_2_2,xc7k70tfbg484-3,Kintex-7,28nm,Speed_NoClock,0,429,0,125,0,0,N/A,21.541,5.323,16.218,35,46.42,48,57,112,OK
mult_mod_3329_2x2_arc_4_5_exact_5_lut,xc7k70tfbg484-3,Kintex-7,28nm,Default_NoClock,0,292,0,90,0,0,N/A,16.823,6.095,10.728,28,59.44,35,61,103,OK
mult_mod_3329_2x2_arc_4_5_exact_5_lut,xc7k70tfbg484-3,Kintex-7,28nm,Area_NoClock,0,255,0,81,0,0,N/A,16.932,6.901,10.032,31,59.06,37,55,98,OK
mult_mod_3329_2x2_arc_4_5_exact_5_lut,xc7k70tfbg484-3,Kintex-7,28nm,Speed_NoClock,0,339,0,102,0,0,N/A,16.558,6.732,9.826,32,60.39,36,58,101,OK
mult_mod_3329_2x2_arc_4_1,xc7k70tfbg484-3,Kintex-7,28nm,Default_NoClock,0,291,0,89,0,0,N/A,15.52,6.113,9.407,27,64.43,37,56,99,OK
mult_mod_3329_2x2_arc_4_1,xc7k70tfbg484-3,Kintex-7,28nm,Area_NoClock,0,260,0,80,0,0,N/A,17.245,6.113,11.132,28,57.99,37,55,99,OK
mult_mod_3329_2x2_arc_4_1,xc7k70tfbg484-3,Kintex-7,28nm,Speed_NoClock,0,338,0,103,0,0,N/A,15.084,5.773,9.311,25,66.3,37,59,102,OK
mult_mod_3329_3x3_arc_1,xc7k70tfbg484-3,Kintex-7,28nm,Default_NoClock,0,299,0,87,0,0,N/A,15.445,5.901,9.544,24,64.75,39,56,107,OK
mult_mod_3329_3x3_arc_1,xc7k70tfbg484-3,Kintex-7,28nm,Area_NoClock,0,290,0,87,0,0,N/A,16.065,5.936,10.129,27,62.25,37,61,105,OK
mult_mod_3329_3x3_arc_1,xc7k70tfbg484-3,Kintex-7,28nm,Speed_NoClock,0,301,0,88,0,0,N/A,15.163,6.083,9.08,25,65.95,38,57,102,OK
mult_mod_3329_4x4_arc_1_st_exact_3_lut,xc7k70tfbg484-3,Kintex-7,28nm,Default_NoClock,0,402,0,114,0,0,N/A,13.325,5.042,8.282,18,75.05,44,56,107,OK
mult_mod_3329_4x4_arc_1_st_exact_3_lut,xc7k70tfbg484-3,Kintex-7,28nm,Area_NoClock,0,395,0,110,0,0,N/A,13.76,5.151,8.608,20,72.67,49,61,116,OK
mult_mod_3329_4x4_arc_1_st_exact_3_lut,xc7k70tfbg484-3,Kintex-7,28nm,Speed_NoClock,0,407,0,113,0,0,N/A,13.077,4.762,8.315,17,76.47,44,60,111,OK
mult_mod_3329_2x2_arc_4_5,xc7k70tfbg484-3,Kintex-7,28nm,Default_NoClock,0,291,0,90,0,0,N/A,16.365,6.492,9.873,29,61.11,36,55,98,OK
mult_mod_3329_2x2_arc_4_5,xc7k70tfbg484-3,Kintex-7,28nm,Area_NoClock,0,254,0,80,0,0,N/A,17.156,7.063,10.094,32,58.29,36,56,98,OK
mult_mod_3329_2x2_arc_4_5,xc7k70tfbg484-3,Kintex-7,28nm,Speed_NoClock,0,337,0,104,0,0,N/A,16.202,6.599,9.604,31,61.72,37,57,100,OK
mult_mod_3329_2x2_arc_3_1_1,xc7k70tfbg484-3,Kintex-7,28nm,Default_NoClock,0,342,0,100,0,0,N/A,22.405,6.604,15.801,36,44.63,50,55,112,OK
mult_mod_3329_2x2_arc_3_1_1,xc7k70tfbg484-3,Kintex-7,28nm,Area_NoClock,0,305,0,90,0,0,N/A,28.027,7.415,20.612,55,35.68,42,56,104,OK
mult_mod_3329_2x2_arc_3_1_1,xc7k70tfbg484-3,Kintex-7,28nm,Speed_NoClock,0,428,0,116,0,0,N/A,21.984,5.512,16.473,36,45.49,51,55,113,OK
mult_mod_3329_4x4_arc_1_st_exact,xc7k70tfbg484-3,Kintex-7,28nm,Default_NoClock,0,400,0,111,0,0,N/A,13.593,5.216,8.377,17,73.57,43,61,110,OK
mult_mod_3329_4x4_arc_1_st_exact,xc7k70tfbg484-3,Kintex-7,28nm,Area_NoClock,0,393,0,108,0,0,N/A,13.742,5.138,8.604,19,72.77,53,57,117,OK
mult_mod_3329_4x4_arc_1_st_exact,xc7k70tfbg484-3,Kintex-7,28nm,Speed_NoClock,0,404,0,108,0,0,N/A,13.767,4.548,9.219,18,72.64,43,56,106,OK
mult_mod_3329_3x3_arc_2,xc7k70tfbg484-3,Kintex-7,28nm,Default_NoClock,0,295,0,86,0,0,N/A,14.217,5.602,8.615,19,70.34,38,60,105,OK
mult_mod_3329_3x3_arc_2,xc7k70tfbg484-3,Kintex-7,28nm,Area_NoClock,0,287,0,84,0,0,N/A,15.649,5.598,10.05,22,63.9,38,61,105,OK
mult_mod_3329_3x3_arc_2,xc7k70tfbg484-3,Kintex-7,28nm,Speed_NoClock,0,273,0,79,0,0,N/A,13.882,5.674,8.208,20,72.04,37,60,105,OK
mult_mod_3329_2x2_arc_4_2,xc7k70tfbg484-3,Kintex-7,28nm,Default_NoClock,0,291,0,89,0,0,N/A,15.52,6.113,9.407,27,64.43,36,62,104,OK
mult_mod_3329_2x2_arc_4_2,xc7k70tfbg484-3,Kintex-7,28nm,Area_NoClock,0,260,0,80,0,0,N/A,17.245,6.113,11.132,28,57.99,37,56,100,OK
mult_mod_3329_2x2_arc_4_2,xc7k70tfbg484-3,Kintex-7,28nm,Speed_NoClock,0,338,0,103,0,0,N/A,15.084,5.773,9.311,25,66.3,37,61,104,OK
mult_mod_3329_2x2_arc_3_2_4_st_exact,xc7k70tfbg484-3,Kintex-7,28nm,Default_NoClock,0,319,0,89,0,0,N/A,13.947,5.315,8.632,24,71.7,37,56,99,OK
mult_mod_3329_2x2_arc_3_2_4_st_exact,xc7k70tfbg484-3,Kintex-7,28nm,Area_NoClock,0,290,0,84,0,0,N/A,15.257,5.702,9.555,24,65.54,37,61,106,OK
mult_mod_3329_2x2_arc_3_2_4_st_exact,xc7k70tfbg484-3,Kintex-7,28nm,Speed_NoClock,0,381,0,107,0,0,N/A,14.261,5.199,9.062,23,70.12,37,60,104,OK
